# filter: 2MASS/2MASS.H
# detector_type: photon
# wavelength (um)   transmission
1.418000000000000149e+00 0.000000000000000000e+00
1.440000000000000169e+00 5.000000000000000104e-04
1.461999999999999966e+00 2.799999899999999937e-03
1.477999999999999980e+00 8.100000200000000497e-03
1.485999999999999988e+00 2.869999969999999928e-02
1.493000000000000105e+00 8.709999920000000007e-02
1.504000000000000004e+00 2.013999968999999890e-01
1.515000000000000124e+00 4.381999968999999995e-01
1.528000000000000025e+00 6.863999963000000371e-01
1.539000000000000146e+00 8.180999756000000289e-01
1.546000000000000041e+00 8.820999860999999553e-01
1.551000000000000156e+00 9.118000268999999491e-01
1.556000000000000050e+00 9.269000292000000307e-01
1.565000000000000169e+00 9.293000101999999707e-01
1.572000000000000064e+00 8.726999760000000439e-01
1.577000000000000179e+00 8.565999866000000296e-01
1.583000000000000185e+00 8.826000094000000518e-01
1.592000000000000082e+00 9.180999993999999775e-01
1.596999999999999975e+00 9.266999959999999703e-01
1.602000000000000091e+00 9.075999855999999921e-01
1.612999999999999989e+00 9.259999989999999626e-01
1.618999999999999995e+00 9.204999804000000285e-01
1.628000000000000114e+00 9.241999984000000001e-01
1.633000000000000007e+00 9.235000013999999924e-01
1.642000000000000126e+00 9.417999983000000519e-01
1.648000000000000131e+00 9.491000174999999484e-01
1.657000000000000028e+00 9.807000160000000077e-01
1.659000000000000030e+00 9.937000274999999716e-01
1.671000000000000041e+00 1.000000000000000000e+00
1.684000000000000163e+00 9.560999869999999845e-01
1.701000000000000068e+00 9.240999817999999699e-01
1.715000000000000080e+00 9.821000099000000150e-01
1.727000000000000091e+00 9.915999770000000213e-01
1.739000000000000101e+00 9.886999725999999766e-01
1.745999999999999996e+00 9.792000054999999703e-01
1.751000000000000112e+00 9.682000279000000376e-01
1.753000000000000114e+00 9.369999766000000063e-01
1.756000000000000005e+00 9.190000296000000457e-01
1.764000000000000012e+00 8.422999977999999777e-01
1.775000000000000133e+00 6.671000123000000448e-01
1.785000000000000142e+00 2.694000006000000225e-01
1.790000000000000036e+00 4.515999854000000147e-01
1.796000000000000041e+00 1.730999947000000094e-01
1.803000000000000158e+00 1.076999976999999942e-01
1.810000000000000053e+00 7.069999720000000321e-02
1.813000000000000167e+00 5.100000199999999567e-03
1.818000000000000060e+00 1.999999959999999855e-02
1.828000000000000069e+00 4.000000000000000192e-04
1.835000000000000187e+00 0.000000000000000000e+00
1.850000000000000089e+00 1.000000000000000048e-04
1.870999999999999996e+00 0.000000000000000000e+00
