# filter: 2MASS/2MASS.J
# detector_type: photon
# wavelength (um)   transmission
1.062000000000000055e+00 0.000000000000000000e+00
1.066000000000000059e+00 4.000000000000000192e-04
1.070000000000000062e+00 1.500000000000000031e-03
1.074999999999999956e+00 2.700000100000000177e-03
1.078000000000000069e+00 5.499999999999999681e-03
1.082000000000000073e+00 1.229999960000000003e-02
1.084000000000000075e+00 2.030000090000000021e-02
1.086999999999999966e+00 3.060000020000000140e-02
1.088999999999999968e+00 4.050000010000000261e-02
1.092999999999999972e+00 5.150000009999999850e-02
1.096000000000000085e+00 5.640000099999999822e-02
1.102000000000000091e+00 7.180000100000000218e-02
1.104999999999999982e+00 2.736000121000000118e-01
1.106999999999999984e+00 3.409999906999999775e-01
1.108999999999999986e+00 3.583999871999999920e-01
1.112000000000000099e+00 3.801000118000000261e-01
1.116000000000000103e+00 3.307000100999999970e-01
1.116999999999999993e+00 2.395000010999999984e-01
1.120000000000000107e+00 2.500999868000000070e-01
1.122999999999999998e+00 2.833000124000000230e-01
1.128000000000000114e+00 2.581999897999999738e-01
1.129000000000000004e+00 2.515000104999999819e-01
1.132000000000000117e+00 5.381000042000000372e-01
1.134000000000000119e+00 2.231999933999999908e-01
1.138000000000000123e+00 5.368999839000000440e-01
1.140000000000000124e+00 1.102000028000000020e-01
1.143000000000000016e+00 5.292000175000000084e-01
1.147000000000000020e+00 2.619000076999999926e-01
1.154000000000000137e+00 3.201999962000000033e-01
1.159000000000000030e+00 1.743000000999999910e-01
1.164000000000000146e+00 6.069999932999999848e-01
1.167000000000000037e+00 6.179000139000000447e-01
1.170000000000000151e+00 6.762999892000000068e-01
1.173000000000000043e+00 7.279000281999999933e-01
1.175000000000000044e+00 7.465000152999999861e-01
1.179000000000000048e+00 8.303999900999999850e-01
1.182000000000000162e+00 7.903000115999999631e-01
1.186000000000000165e+00 8.095999955999999553e-01
1.188000000000000167e+00 8.368999957999999628e-01
1.191999999999999948e+00 8.360000252999999493e-01
1.195000000000000062e+00 7.498999833999999698e-01
1.199000000000000066e+00 7.080000042999999854e-01
1.201999999999999957e+00 6.988000274000000234e-01
1.209000000000000075e+00 7.049000263000000377e-01
1.215999999999999970e+00 7.003999949000000447e-01
1.221000000000000085e+00 7.328000069000000227e-01
1.227000000000000091e+00 7.056999803000000293e-01
1.231000000000000094e+00 8.424000144000000079e-01
1.235999999999999988e+00 9.218999743000000358e-01
1.239999999999999991e+00 9.524999857000000514e-01
1.243999999999999995e+00 9.675999880000000219e-01
1.247000000000000108e+00 9.595000148000000229e-01
1.253000000000000114e+00 9.226999878999999627e-01
1.255000000000000115e+00 8.930000067000000152e-01
1.258000000000000007e+00 8.529000281999999933e-01
1.260000000000000009e+00 8.022999763000000506e-01
1.265000000000000124e+00 7.501000166000000302e-01
1.270000000000000018e+00 6.780999898999999775e-01
1.275000000000000133e+00 6.524000168000000377e-01
1.279000000000000137e+00 6.388000249999999935e-01
1.286000000000000032e+00 6.424000263000000377e-01
1.292000000000000037e+00 6.485999823000000442e-01
1.297000000000000153e+00 6.823999882000000294e-01
1.302000000000000046e+00 7.529000044000000447e-01
1.305000000000000160e+00 7.759000063000000003e-01
1.307000000000000162e+00 8.118000031000000005e-01
1.310000000000000053e+00 7.770000099999999632e-01
1.313000000000000167e+00 7.210000157000000520e-01
1.316000000000000059e+00 9.524999857000000514e-01
1.319000000000000172e+00 8.550999760999999921e-01
1.322999999999999954e+00 8.414000272999999641e-01
1.326000000000000068e+00 1.000000000000000000e+00
1.330000000000000071e+00 8.946999906999999475e-01
1.332999999999999963e+00 8.549000024999999781e-01
1.334000000000000075e+00 5.378999709999999768e-01
1.336000000000000076e+00 2.799000144000000079e-01
1.338999999999999968e+00 9.064999819000000292e-01
1.342999999999999972e+00 6.893000006999999707e-01
1.346000000000000085e+00 5.533000231000000380e-01
1.348999999999999977e+00 2.432000041000000057e-01
1.352999999999999980e+00 1.439999980000000041e-02
1.354999999999999982e+00 2.000000000000000096e-04
1.360000000000000098e+00 4.010000080000000050e-02
1.362999999999999989e+00 4.499999799999999592e-03
1.370000000000000107e+00 2.999999999999999737e-04
1.372999999999999998e+00 3.720000009999999829e-02
1.377000000000000002e+00 5.000000000000000104e-04
1.383000000000000007e+00 0.000000000000000000e+00
1.388000000000000123e+00 1.000000000000000048e-04
1.392000000000000126e+00 3.299999999999999982e-03
1.395000000000000018e+00 2.999999999999999737e-04
1.396000000000000130e+00 8.500000500000000347e-03
1.397000000000000020e+00 2.539999969999999843e-02
1.398000000000000131e+00 1.184000000000000052e-01
1.400000000000000133e+00 1.000000000000000048e-04
1.401000000000000023e+00 1.000000000000000048e-04
1.402000000000000135e+00 5.209999900000000100e-02
1.404000000000000137e+00 1.039999999999999952e-02
1.406000000000000139e+00 4.780000079999999901e-02
1.407000000000000028e+00 4.000000000000000192e-04
1.410000000000000142e+00 2.400000099999999824e-03
1.412000000000000144e+00 5.299999799999999955e-03
1.416000000000000147e+00 8.600000300000000542e-03
1.421000000000000041e+00 6.999999999999999929e-04
1.426000000000000156e+00 2.999999999999999737e-04
1.442000000000000171e+00 4.000000000000000192e-04
1.450000000000000178e+00 0.000000000000000000e+00
