# filter: 2MASS/2MASS.Ks
# detector_type: photon
# wavelength (um)   transmission
1.927000000000000046e+00 0.000000000000000000e+00
1.934000000000000163e+00 2.000000000000000096e-04
1.939000000000000057e+00 5.000000000000000104e-04
1.948000000000000176e+00 5.400000099999999886e-03
1.957000000000000073e+00 1.190000029999999966e-02
1.962000000000000188e+00 1.970000010000000010e-02
1.969000000000000083e+00 4.219999910000000326e-02
1.976000000000000201e+00 8.730000259999999568e-02
1.981000000000000094e+00 1.527999938000000058e-01
1.989000000000000101e+00 2.481999993000000015e-01
1.989999999999999991e+00 1.902000010000000074e-01
1.997999999999999998e+00 2.338999957000000018e-01
2.008000000000000007e+00 2.946000099000000150e-01
2.014000000000000234e+00 3.982000052999999928e-01
2.019000000000000128e+00 3.366000055999999740e-01
2.028000000000000025e+00 6.207000016999999481e-01
2.036999999999999922e+00 7.649999857000000514e-01
2.044999999999999929e+00 7.463999986999999559e-01
2.060999999999999943e+00 6.251000166000000302e-01
2.072000000000000064e+00 7.254999876000000070e-01
2.075000000000000178e+00 6.894999742999999848e-01
2.082000000000000295e+00 7.878999709999999768e-01
2.088999999999999968e+00 8.180999756000000289e-01
2.099000000000000199e+00 8.227999806000000360e-01
2.106000000000000316e+00 8.633000254999999568e-01
2.112999999999999989e+00 8.777999878000000145e-01
2.120000000000000107e+00 8.549000024999999781e-01
2.124000000000000110e+00 8.952999711000000360e-01
2.137999999999999901e+00 9.189000130000000155e-01
2.145000000000000018e+00 9.268000126000000005e-01
2.155000000000000249e+00 9.266999959999999703e-01
2.169000000000000039e+00 9.009000063000000003e-01
2.176000000000000156e+00 9.228000044999999929e-01
2.185000000000000053e+00 8.428000211999999713e-01
2.197000000000000064e+00 9.459000229999999787e-01
2.208000000000000185e+00 9.804000257999999635e-01
2.213000000000000078e+00 9.879000186999999933e-01
2.217999999999999972e+00 9.847999810999999992e-01
2.232000000000000206e+00 9.646999835999999773e-01
2.237000000000000099e+00 9.815999866000000296e-01
2.248000000000000220e+00 9.833999871999999920e-01
2.256000000000000227e+00 9.613000153999999853e-01
2.260000000000000231e+00 9.792000054999999703e-01
2.262999999999999901e+00 1.000000000000000000e+00
2.265000000000000124e+00 9.631999731000000509e-01
2.270000000000000018e+00 9.811999797999999551e-01
2.272000000000000242e+00 9.681000113000000074e-01
2.276000000000000245e+00 9.108999968000000003e-01
2.277000000000000135e+00 9.821000099000000150e-01
2.281000000000000139e+00 8.895999788999999769e-01
2.284000000000000252e+00 8.917999864000000221e-01
2.286000000000000032e+00 9.423999786000000212e-01
2.290999999999999925e+00 8.403999804999999768e-01
2.293000000000000149e+00 8.041999936000000515e-01
2.294999999999999929e+00 7.077000141000000522e-01
2.297000000000000153e+00 6.575999855999999921e-01
2.298999999999999932e+00 5.606999993000000293e-01
2.306000000000000050e+00 4.436999857000000214e-01
2.310999999999999943e+00 3.481999934000000185e-01
2.316000000000000281e+00 2.301999926999999946e-01
2.320000000000000284e+00 1.625999956999999996e-01
2.325000000000000178e+00 1.360000074000000114e-01
2.328000000000000291e+00 9.210000190000000586e-02
2.334999999999999964e+00 6.239999830000000219e-02
2.338999999999999968e+00 4.309999939999999835e-02
2.344000000000000306e+00 3.400000179999999872e-02
2.346000000000000085e+00 3.099999950000000004e-02
2.352000000000000313e+00 1.180000039999999986e-02
2.361000000000000210e+00 6.800000100000000089e-03
2.362999999999999989e+00 6.999999999999999929e-04
2.370000000000000107e+00 3.000000000000000062e-03
2.375000000000000000e+00 2.099999899999999836e-03
2.383999999999999897e+00 4.000000000000000192e-04
2.399000000000000021e+00 0.000000000000000000e+00
