# filter: GAIA/GAIA3.Grp
# detector_type: photon
# wavelength (um)   transmission
6.099999999999999867e-01 1.066812210000000019e-04
6.109999999999999876e-01 1.498279319999999898e-04
6.119999999999999885e-01 2.164891509999999865e-04
6.129999999999999893e-01 3.100122009999999820e-04
6.139999999999999902e-01 4.593180920000000211e-04
6.149999999999999911e-01 7.050410530000000061e-04
6.159999999999999920e-01 1.088254070000000025e-03
6.169999999999999929e-01 1.756527809999999931e-03
6.179999999999999938e-01 2.967477120000000003e-03
6.189999999999999947e-01 5.110958890000000428e-03
6.199999999999999956e-01 8.959073090000000197e-03
6.209999999999999964e-01 1.402382530000000072e-02
6.219999999999999973e-01 2.271677919999999865e-02
6.229999999999999982e-01 3.678328160000000208e-02
6.239999999999999991e-01 5.831096219999999664e-02
6.250000000000000000e-01 8.941859309999999894e-02
6.260000000000000009e-01 1.314996579999999915e-01
6.270000000000000018e-01 1.850140329999999944e-01
6.280000000000000027e-01 2.486420410000000081e-01
6.290000000000000036e-01 3.199509200000000275e-01
6.300000000000000044e-01 3.945348000000000188e-01
6.310000000000000053e-01 4.684843630000000148e-01
6.320000000000000062e-01 5.374194860000000018e-01
6.330000000000000071e-01 5.969091239999999576e-01
6.340000000000000080e-01 6.458597200000000260e-01
6.350000000000000089e-01 6.832151330000000300e-01
6.360000000000000098e-01 7.108774730000000375e-01
6.370000000000000107e-01 7.286697909999999556e-01
6.380000000000000115e-01 7.390301550000000219e-01
6.390000000000000124e-01 7.382728429999999564e-01
6.400000000000000133e-01 7.284574280000000179e-01
6.410000000000000142e-01 7.106086849999999622e-01
6.420000000000000151e-01 6.939500339999999934e-01
6.430000000000000160e-01 6.834281500000000120e-01
6.440000000000000169e-01 6.787298809999999794e-01
6.450000000000000178e-01 6.783742189999999450e-01
6.460000000000000187e-01 6.799057269999999598e-01
6.470000000000000195e-01 6.835732770000000347e-01
6.480000000000000204e-01 6.872458670000000103e-01
6.490000000000000213e-01 6.900839170000000466e-01
6.500000000000000222e-01 6.932457229999999804e-01
6.510000000000000231e-01 6.954782919999999979e-01
6.520000000000000240e-01 6.968186729999999995e-01
6.530000000000000249e-01 6.978079560000000070e-01
6.540000000000000258e-01 6.985262660000000068e-01
6.550000000000000266e-01 6.991652560000000127e-01
6.560000000000000275e-01 7.004509429999999925e-01
6.570000000000000284e-01 7.014551669999999906e-01
6.580000000000000293e-01 7.034172279999999500e-01
6.590000000000000302e-01 7.045534039999999942e-01
6.600000000000000311e-01 7.068344979999999778e-01
6.610000000000000320e-01 7.084591449999999568e-01
6.620000000000000329e-01 7.104903590000000158e-01
6.630000000000000338e-01 7.120964130000000392e-01
6.640000000000000346e-01 7.144859070000000312e-01
6.650000000000000355e-01 7.168661050000000312e-01
6.660000000000000364e-01 7.193727260000000179e-01
6.670000000000000373e-01 7.215978130000000323e-01
6.680000000000000382e-01 7.232692240000000439e-01
6.690000000000000391e-01 7.246184500000000250e-01
6.700000000000000400e-01 7.258579309999999563e-01
6.710000000000000409e-01 7.278083560000000451e-01
6.720000000000000417e-01 7.283969869999999958e-01
6.730000000000000426e-01 7.304366089999999589e-01
6.740000000000000435e-01 7.310977330000000274e-01
6.750000000000000444e-01 7.314581669999999924e-01
6.760000000000000453e-01 7.313763129999999446e-01
6.770000000000000462e-01 7.316058560000000544e-01
6.780000000000000471e-01 7.319752189999999548e-01
6.790000000000000480e-01 7.322033839999999572e-01
6.800000000000000488e-01 7.317729210000000206e-01
6.810000000000000497e-01 7.312232109999999841e-01
6.820000000000000506e-01 7.304333090000000306e-01
6.830000000000000515e-01 7.299384110000000092e-01
6.840000000000000524e-01 7.295746810000000027e-01
6.850000000000000533e-01 7.295529549999999475e-01
6.860000000000000542e-01 7.295986009999999578e-01
6.870000000000000551e-01 7.297434280000000273e-01
6.880000000000000560e-01 7.300466349999999993e-01
6.890000000000000568e-01 7.310999719999999868e-01
6.900000000000000577e-01 7.311262360000000404e-01
6.910000000000000586e-01 7.320949190000000106e-01
6.920000000000000595e-01 7.336334970000000233e-01
6.930000000000000604e-01 7.327556480000000372e-01
6.940000000000000613e-01 7.340720090000000253e-01
6.950000000000000622e-01 7.341996600000000317e-01
6.960000000000000631e-01 7.351209950000000548e-01
6.970000000000000639e-01 7.356805309999999709e-01
6.980000000000000648e-01 7.361462439999999496e-01
6.990000000000000657e-01 7.372648299999999821e-01
7.000000000000000666e-01 7.375911339999999816e-01
7.010000000000000675e-01 7.379639059999999473e-01
7.020000000000000684e-01 7.367824210000000207e-01
7.030000000000000693e-01 7.367416660000000173e-01
7.040000000000000702e-01 7.376644930000000322e-01
7.050000000000000711e-01 7.377587140000000376e-01
7.060000000000000719e-01 7.378281309999999982e-01
7.070000000000000728e-01 7.369723110000000466e-01
7.080000000000000737e-01 7.360694970000000170e-01
7.090000000000000746e-01 7.354132709999999795e-01
7.100000000000000755e-01 7.351913300000000318e-01
7.110000000000000764e-01 7.347276649999999742e-01
7.120000000000000773e-01 7.340452090000000318e-01
7.130000000000000782e-01 7.332587310000000524e-01
7.140000000000000790e-01 7.328627030000000042e-01
7.150000000000000799e-01 7.317704870000000250e-01
7.160000000000000808e-01 7.316074299999999475e-01
7.170000000000000817e-01 7.316006510000000462e-01
7.180000000000000826e-01 7.309548839999999714e-01
7.190000000000000835e-01 7.308768319999999763e-01
7.200000000000000844e-01 7.322348250000000336e-01
7.210000000000000853e-01 7.314705110000000454e-01
7.220000000000000862e-01 7.317397310000000044e-01
7.230000000000000870e-01 7.319698669999999963e-01
7.240000000000000879e-01 7.338755359999999950e-01
7.250000000000000888e-01 7.341152290000000358e-01
7.260000000000000897e-01 7.364945720000000140e-01
7.269999999999999796e-01 7.371778479999999689e-01
7.279999999999999805e-01 7.375961090000000553e-01
7.289999999999999813e-01 7.388652589999999964e-01
7.299999999999999822e-01 7.395557600000000065e-01
7.309999999999999831e-01 7.413872569999999662e-01
7.319999999999999840e-01 7.419934649999999632e-01
7.329999999999999849e-01 7.430238350000000214e-01
7.339999999999999858e-01 7.436270659999999477e-01
