# filter: WISE/WISE.W2
# detector_type: energy
# wavelength (um)   transmission
3.890000000000000124e+00 1.082500000000000020e-04
3.900000000000000355e+00 1.545399999999999942e-04
3.910000000000000142e+00 2.234100000000000040e-04
3.920000000000000373e+00 4.175000000000000109e-04
3.930000000000000160e+00 5.683399999999999693e-04
3.940000000000000391e+00 4.411300000000000269e-04
3.950000000000000178e+00 1.312400000000000025e-03
3.960000000000000409e+00 9.263300000000000353e-03
3.970000000000000195e+00 1.147800000000000036e-02
3.979999999999999982e+00 1.450899999999999933e-02
3.990000000000000213e+00 1.867200000000000110e-02
4.000000000000000000e+00 2.442100000000000173e-02
4.009999999999999787e+00 3.442599999999999827e-02
4.020000000000000462e+00 5.055599999999999677e-02
4.030000000000000249e+00 7.503200000000000147e-02
4.040000000000000036e+00 1.100099999999999967e-01
4.049999999999999822e+00 1.570100000000000107e-01
4.060000000000000497e+00 2.246700000000000086e-01
4.070000000000000284e+00 3.064999999999999947e-01
4.080000000000000071e+00 3.971199999999999730e-01
4.089999999999999858e+00 4.939100000000000157e-01
4.100000000000000533e+00 5.889400000000000190e-01
4.110000000000000320e+00 6.726900000000000102e-01
4.120000000000000107e+00 7.415399999999999769e-01
4.129999999999999893e+00 7.976100000000000412e-01
4.140000000000000568e+00 8.385700000000000376e-01
4.150000000000000355e+00 8.631299999999999528e-01
4.160000000000000142e+00 8.806599999999999984e-01
4.169999999999999929e+00 8.911099999999999577e-01
4.180000000000000604e+00 8.956399999999999917e-01
4.190000000000000391e+00 8.953900000000000192e-01
4.200000000000000178e+00 8.939200000000000479e-01
4.209999999999999964e+00 8.888399999999999634e-01
4.220000000000000639e+00 8.825100000000000167e-01
4.230000000000000426e+00 8.761400000000000299e-01
4.240000000000000213e+00 8.770000000000000018e-01
4.250000000000000000e+00 8.802799999999999514e-01
4.259999999999999787e+00 8.811400000000000343e-01
4.270000000000000462e+00 8.783199999999999896e-01
4.280000000000000249e+00 8.779400000000000537e-01
4.290000000000000036e+00 8.812100000000000488e-01
4.299999999999999822e+00 8.881799999999999695e-01
4.310000000000000497e+00 8.951700000000000212e-01
4.320000000000000284e+00 9.021900000000000475e-01
4.330000000000000071e+00 9.067499999999999449e-01
4.339999999999999858e+00 9.100800000000000001e-01
4.350000000000000533e+00 9.109399999999999720e-01
4.360000000000000320e+00 9.080500000000000238e-01
4.370000000000000107e+00 9.051399999999999446e-01
4.379999999999999893e+00 8.997000000000000552e-01
4.390000000000000568e+00 8.917199999999999571e-01
4.400000000000000355e+00 8.849500000000000144e-01
4.410000000000000142e+00 8.793999999999999595e-01
4.419999999999999929e+00 8.738200000000000411e-01
4.430000000000000604e+00 8.707399999999999585e-01
4.440000000000000391e+00 8.663600000000000190e-01
4.450000000000000178e+00 8.645000000000000462e-01
4.459999999999999964e+00 8.651699999999999946e-01
4.470000000000000639e+00 8.696599999999999886e-01
4.480000000000000426e+00 8.780000000000000027e-01
4.490000000000000213e+00 8.889399999999999524e-01
4.500000000000000000e+00 9.012099999999999556e-01
4.509999999999999787e+00 9.161000000000000254e-01
4.520000000000000462e+00 9.284599999999999520e-01
4.530000000000000249e+00 9.421599999999999975e-01
4.540000000000000036e+00 9.533199999999999452e-01
4.549999999999999822e+00 9.619199999999999973e-01
4.560000000000000497e+00 9.692399999999999904e-01
4.570000000000000284e+00 9.739799999999999569e-01
4.580000000000000071e+00 9.774199999999999555e-01
4.589999999999999858e+00 9.769299999999999651e-01
4.600000000000000533e+00 9.751199999999999868e-01
4.610000000000000320e+00 9.719700000000000006e-01
4.620000000000000107e+00 9.661600000000000188e-01
4.629999999999999893e+00 9.603099999999999969e-01
4.640000000000000568e+00 9.531100000000000128e-01
4.650000000000000355e+00 9.458600000000000341e-01
4.660000000000000142e+00 9.385799999999999699e-01
4.669999999999999929e+00 9.352500000000000258e-01
4.680000000000000604e+00 9.319100000000000161e-01
4.690000000000000391e+00 9.312200000000000477e-01
4.700000000000000178e+00 9.305200000000000138e-01
4.709999999999999964e+00 9.338499999999999579e-01
4.720000000000000639e+00 9.385299999999999754e-01
4.730000000000000426e+00 9.445700000000000207e-01
4.740000000000000213e+00 9.546900000000000386e-01
4.750000000000000000e+00 9.621300000000000407e-01
4.759999999999999787e+00 9.723199999999999621e-01
4.770000000000000462e+00 9.798099999999999588e-01
4.780000000000000249e+00 9.859599999999999476e-01
4.790000000000000036e+00 9.880200000000000093e-01
4.799999999999999822e+00 9.900900000000000256e-01
4.810000000000000497e+00 9.893999999999999462e-01
4.820000000000000284e+00 9.887000000000000233e-01
4.830000000000000071e+00 9.893800000000000372e-01
4.839999999999999858e+00 9.886599999999999833e-01
4.850000000000000533e+00 9.893199999999999772e-01
4.860000000000000320e+00 9.899700000000000166e-01
4.870000000000000107e+00 9.906099999999999905e-01
4.879999999999999893e+00 9.926500000000000323e-01
4.890000000000000568e+00 9.946800000000000086e-01
4.900000000000000355e+00 9.967099999999999849e-01
4.910000000000000142e+00 9.973499999999999588e-01
4.919999999999999929e+00 9.993800000000000461e-01
4.930000000000000604e+00 1.000000000000000000e+00
4.940000000000000391e+00 9.992100000000000426e-01
4.950000000000000178e+00 9.969900000000000428e-01
4.959999999999999964e+00 9.947500000000000231e-01
4.970000000000000639e+00 9.910799999999999610e-01
4.980000000000000426e+00 9.859599999999999476e-01
4.990000000000000213e+00 9.808099999999999596e-01
5.000000000000000000e+00 9.713500000000000467e-01
5.010000000000000675e+00 9.632699999999999596e-01
5.020000000000000462e+00 9.522800000000000153e-01
5.030000000000000249e+00 9.412500000000000311e-01
5.040000000000000036e+00 9.301599999999999868e-01
5.049999999999999822e+00 9.190199999999999481e-01
5.060000000000000497e+00 9.078300000000000258e-01
5.070000000000000284e+00 8.965899999999999981e-01
5.080000000000000071e+00 8.867500000000000382e-01
5.089999999999999858e+00 8.768599999999999728e-01
5.100000000000000533e+00 8.669299999999999784e-01
5.110000000000000320e+00 8.540299999999999558e-01
5.120000000000000107e+00 8.410699999999999843e-01
5.129999999999999893e+00 8.207299999999999596e-01
5.140000000000000568e+00 7.988300000000000400e-01
5.150000000000000355e+00 7.636100000000000110e-01
5.160000000000000142e+00 7.267599999999999616e-01
5.169999999999999929e+00 6.764700000000000157e-01
5.180000000000000604e+00 6.200700000000000101e-01
5.190000000000000391e+00 5.560199999999999587e-01
5.200000000000000178e+00 4.856400000000000161e-01
5.209999999999999964e+00 4.166199999999999903e-01
5.220000000000000639e+00 3.471699999999999786e-01
5.230000000000000426e+00 2.835900000000000087e-01
5.240000000000000213e+00 2.255999999999999950e-01
5.250000000000000000e+00 1.750400000000000011e-01
5.260000000000000675e+00 1.354599999999999971e-01
5.270000000000000462e+00 9.924800000000000288e-02
5.280000000000000249e+00 7.593500000000000250e-02
5.290000000000000036e+00 5.321300000000000335e-02
5.299999999999999822e+00 4.074599999999999750e-02
5.310000000000000497e+00 2.830699999999999883e-02
5.320000000000000284e+00 2.108099999999999904e-02
5.330000000000000071e+00 1.469699999999999999e-02
5.339999999999999858e+00 1.043499999999999983e-02
5.350000000000000533e+00 7.237200000000000057e-03
5.360000000000000320e+00 4.045700000000000164e-03
5.370000000000000107e+00 3.048400000000000155e-03
5.379999999999999893e+00 2.276300000000000198e-03
5.390000000000000568e+00 1.733900000000000025e-03
5.400000000000000355e+00 1.289299999999999951e-03
5.410000000000000142e+00 9.729400000000000461e-04
5.419999999999999929e+00 7.387599999999999809e-04
5.430000000000000604e+00 5.488500000000000323e-04
5.440000000000000391e+00 3.910200000000000069e-04
5.450000000000000178e+00 3.095300000000000265e-04
5.459999999999999964e+00 2.154199999999999941e-04
5.470000000000000639e+00 2.786299999999999801e-04
